drone_id,stage,generation,best_score,mean_score
FY2,proximity,38,-0.19380433149741855,-46.551996511014295
FY2,proximity,39,-0.19380433149741855,-44.98746243221519
FY2,proximity,40,-0.19380433149741855,-44.11878770653066
FY2,proximity,41,-0.19380433149741855,-42.47104942811881
FY2,proximity,42,-0.19380433149741855,-39.33465669065098
FY2,proximity,43,-0.19380433149741855,-37.1897479585573
FY2,proximity,44,-0.19380433149741855,-35.86490197497742
FY2,proximity,45,-0.19380433149741855,-34.67451169309428
FY2,proximity,46,-0.19380433149741855,-32.154275939661865
FY2,proximity,47,-0.19380433149741855,-31.376156975666774
FY2,proximity,48,-0.19380433149741855,-29.36605843485709
FY2,proximity,49,-0.19380433149741855,-27.834449608705032
FY2,proximity,50,-0.19380433149741855,-27.008668337491684
FY2,proximity,51,-0.19380433149741855,-26.059733639683767
FY2,proximity,52,-0.19380433149741855,-24.692478832938537
FY2,proximity,53,-0.19380433149741855,-24.418910074019802
FY2,proximity,54,-0.19380433149741855,-23.564820735657122
FY2,proximity,55,-0.19380433149741855,-22.276703239896293
FY2,proximity,56,-0.19380433149741855,-20.557281306610875
FY2,proximity,57,-0.19380433149741855,-19.818469200716844
FY2,proximity,58,-0.19380433149741855,-19.653648557640647
FY2,proximity,59,-0.19380433149741855,-18.500300433046093
FY2,proximity,60,-0.19380433149741855,-17.898315566971917
FY2,proximity,61,-0.19380433149741855,-17.586702343444042
FY2,proximity,62,-0.19380433149741855,-17.013904160016708
FY2,proximity,63,-0.19380433149741855,-16.35990860609034
FY2,proximity,64,-0.19380433149741855,-16.22374783476289
FY2,proximity,65,-0.19380433149741855,-15.804157177151522
FY2,proximity,66,-0.19380433149741855,-15.619721543400372
FY2,proximity,67,-0.19380433149741855,-14.929704401827577
FY2,proximity,68,-0.19380433149741855,-14.775859513414709
FY2,proximity,69,-0.19380433149741855,-14.384884078193345
FY2,proximity,70,-0.19380433149741855,-14.104992099692574
FY2,proximity,71,-0.19380433149741855,-13.464952536794863
FY2,proximity,72,-0.19380433149741855,-13.042293940106758
FY2,proximity,73,-0.19380433149741855,-12.35860096378138
FY2,proximity,74,-0.19380433149741855,-12.107846665530303
FY2,proximity,75,-0.19380433149741855,-11.501520051345954
FY2,proximity,76,-0.19380433149741855,-11.368079714437902
FY2,proximity,77,-0.19380433149741855,-11.336074322556124
FY2,proximity,78,-0.19380433149741855,-11.271552049166525
FY2,proximity,79,-0.11706002083666601,-10.944538957940217
FY2,proximity,80,-0.11706002083666601,-10.568279349934883
FY2,proximity,81,-0.11706002083666601,-9.686516783077211
FY2,proximity,82,-0.11706002083666601,-9.213345747917918
FY2,proximity,83,-0.11706002083666601,-8.981993631400915
FY2,proximity,84,-0.11706002083666601,-8.870283884663781
FY2,proximity,85,-0.11706002083666601,-8.673098900940282
FY2,proximity,86,-0.11706002083666601,-8.188112498421814
FY2,proximity,87,-0.11706002083666601,-7.917916305646578
FY2,proximity,88,-0.11706002083666601,-7.829007702613261
FY2,proximity,89,-0.11706002083666601,-7.7092725963871525
FY2,proximity,90,-0.11706002083666601,-7.445249949372787
FY2,proximity,91,-0.11706002083666601,-7.053684537002589
FY2,proximity,92,-0.11706002083666601,-6.941062282351381
FY2,proximity,93,-0.11706002083666601,-6.941062282351381
